Inspector Gadget 2,20.772
Jaws: The Revenge,30.996
Meet the Spartans,45.963
Wounds,21.921
Baby Geniuses,24.624
Barb Wire,21.965
Epic Movie,25.206
The Human Centipede 3 (Final Sequence),24.33
Reservoir Dogs,42.079
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,32.055
All About Eve,21.317
Double Indemnity,22.766
Rashomon,20.368
The Invisible Guest,40.117
Yojimbo,24.708
Bound by Honor,41.504
Some Like It Hot,35.914
Along with the Gods: The Two Worlds,52.37
All Your Faces,21.525
The Hunt,26.822
Colossal,33.46
Barbershop: The Next Cut,24.604
Underworld: Awakening,50.39
John Carter,75.456
You Again,22.912
Batman,22.255
The Interpreter,26.499
Finding ʻOhana,30.027
Vacation,48.171
The Other Guys,34.973
Always,20.755
Half Baked,25.98
Cannibal Holocaust,29.12
Astro Boy,37.358
Haywire,24.634
Tarzan,20.936
Exit Wounds,31.947
Lavender,21.79
The Stepford Wives,46.743
Doctor Dolittle,33.783
Skiptrace,29.315
Aliens in the Attic,33.83
The Hurricane Heist,30.156
Red Dawn,124.651
Aliens vs Predator: Requiem,57.485
Black Water: Abyss,35.646
Species II,25.362
Escape Plan 2: Hades,34.186
Ultraviolet,24.237
Black Christmas,20.63
Police Academy 5: Assignment Miami Beach,23.128
Ouija,51.492
The Adventures of Sharkboy and Lavagirl,43.929
Prisoners of the Ghostland,22.243
Paul Blart: Mall Cop 2,55.663
Hoodwinked Too! Hood VS. Evil,24.863
Driven,25.915
Darc,20.311
Godzilla 2000: Millennium,20.054
The Last Mimzy,20.805
The Bravados,20.804
Guinea Pig Part 2: Flower of Flesh and Blood,20.303
The Informant!,21.49
The Congress,21.489
Eye for an Eye,21.489
The Beguiled,21.482
The Godfather,167.536
The Shawshank Redemption,179.959
The Godfather Part II,106.688
Schindler's List,81.656
Dilwale Dulhania Le Jayenge,43.081
12 Angry Men,66.507
Spirited Away,104.619
Parasite,106.749
The Dark Knight,127.08
The Green Mile,100.097
Your Name.,112.597
Pulp Fiction,86.057
The Lord of the Rings: The Return of the King,129.449
Forrest Gump,132.688
"The Good, the Bad and the Ugly",103.095
GoodFellas,94.772
Life Is Beautiful,50.861
Seven Samurai,41.292
Cinema Paradiso,29.596
Fight Club,105.447
Psycho,62.61
City of God,38.653
Once Upon a Time in America,47.551
Taylor Swift: Reputation Stadium Tour,27.047
One Flew Over the Cuckoo's Nest,61.497
Interstellar,170.639
Gabriel's Inferno: Part III,33.308
Spider-Man: Into the Spider-Verse,155.277
Harakiri,28.806
The Lord of the Rings: The Fellowship of the Ring,124.683
Howl's Moving Castle,99.836
Spider-Man: Across the Spider-Verse,448.515
The Legend of Hei,24.853
A Silent Voice: The Movie,59.434
The Empire Strikes Back,51.211
Hope,25.444
The Lord of the Rings: The Two Towers,108.444
The Pianist,77.531
Whiplash,98.894
"The Boy, the Mole, the Fox and the Horse",31.997
Se7en,74.831
Inception,154.283
Rear Window,35.351
The Quintessential Quintuplets Movie,42.628
American History X,51.054
Princess Mononoke,53.856
Neon Genesis Evangelion: The End of Evangelion,55.999
The Great Dictator,29.193
Sunset Boulevard,30.862
Ikiru,20.507
"Josee, the Tiger and the Fish",44.824
Violet Evergarden: The Movie,42.871
